Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,80.0,61.54,100.0,100.0,100.0
Dizziness,67.86,64.29,85.71,66.67,50.0
Earache,63.64,60.0,75.0,20.0,100.0
Migraine,85.29,76.47,100.0,50.0,100.0
Burnout,77.78,84.62,88.89,33.33,72.73
Back Pain,97.3,100.0,100.0,100.0,92.31
Eye Infection,58.33,58.82,50.0,25.0,85.71
Sore Throat,82.5,83.33,84.62,33.33,91.67
Fatigue,66.67,66.67,88.89,50.0,50.0
Skin Lesion,53.85,57.14,55.56,60.0,45.45
Average,73.322,71.28799999999998,82.867,53.83299999999999,78.787
