Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,70.37,66.67,50.0,66.67,87.5
Dizziness,46.67,52.94,16.67,100.0,50.0
Earache,72.0,75.0,85.71,100.0,55.56
Migraine,69.05,59.09,80.0,50.0,87.5
Skin Lesion,64.0,70.0,100.0,100.0,14.29
Eye Infection,52.0,45.45,75.0,100.0,44.44
Fatigue,52.78,47.37,66.67,25.0,75.0
Sore Throat,72.22,83.33,64.29,100.0,66.67
Burnout,50.0,37.5,77.78,20.0,60.0
Back Pain,80.49,81.25,80.0,66.67,83.33
Average,62.958000000000006,61.85999999999999,69.612,72.834,62.42900000000001
