Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,51.85,58.33,50.0,0.0,62.5
Skin Lesion,48.0,50.0,66.67,0.0,42.86
Sore Throat,52.78,50.0,42.86,100.0,66.67
Back Pain,46.34,37.5,20.0,66.67,75.0
Earache,76.0,87.5,85.71,100.0,55.56
Dizziness,53.33,70.59,16.67,100.0,33.33
Migraine,59.52,45.45,80.0,100.0,62.5
Eye Infection,48.0,54.55,25.0,100.0,44.44
Fatigue,36.11,26.32,44.44,50.0,50.0
Burnout,42.5,25.0,77.78,20.0,50.0
Average,51.443000000000005,50.524,50.913,63.66700000000001,54.286
