Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,80.0,58.33,100.0,100.0,100.0
Dizziness,48.28,47.06,42.86,50.0,66.67
Eye Infection,55.17,50.0,42.86,100.0,71.43
Constipation,84.0,90.91,66.67,100.0,83.33
Skin Lesion,50.0,37.5,66.67,66.67,57.14
Sore Throat,97.3,100.0,93.33,100.0,100.0
Back Pain,60.0,55.56,66.67,100.0,55.56
Burnout,62.86,46.15,100.0,25.0,70.0
Migraine,86.84,77.78,100.0,50.0,100.0
Fatigue,42.5,35.71,77.78,25.0,33.33
Average,66.69500000000002,59.9,75.684,71.667,73.74600000000001
