Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,76.0,87.5,100.0,100.0,44.44
Constipation,70.37,75.0,25.0,33.33,100.0
Dizziness,53.33,58.82,50.0,100.0,33.33
Skin Lesion,60.0,80.0,83.33,0.0,28.57
Sore Throat,63.89,75.0,57.14,100.0,55.56
Eye Infection,56.0,45.45,50.0,100.0,66.67
Back Pain,43.9,43.75,0.0,66.67,75.0
Fatigue,55.56,63.16,55.56,25.0,50.0
Burnout,42.5,37.5,77.78,20.0,30.0
Migraine,61.9,45.45,90.0,50.0,75.0
Average,58.34499999999999,61.16300000000001,58.88099999999999,59.5,55.857000000000006
