Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Constipation,81.48,90.91,66.67,33.33,100.0
Dizziness,93.75,90.0,100.0,100.0,100.0
Skin Lesion,72.97,66.67,66.67,100.0,100.0
Sore Throat,90.62,72.73,100.0,100.0,100.0
Eye Infection,76.19,61.11,62.5,100.0,100.0
Back Pain,76.92,73.33,50.0,100.0,100.0
Fatigue,87.5,77.78,88.89,100.0,100.0
Burnout,92.86,82.35,100.0,100.0,100.0
Migraine,92.68,85.71,100.0,100.0,100.0
Average,86.497,80.05900000000001,83.473,93.333,100.0
