Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,94.12,88.89,100.0,100.0,100.0
Constipation,86.84,91.67,70.0,66.67,100.0
Eye Infection,61.54,52.94,33.33,66.67,100.0
Dizziness,94.44,90.91,100.0,100.0,100.0
Fatigue,88.64,90.0,100.0,83.33,83.33
Sore Throat,92.31,84.62,100.0,100.0,90.91
Skin Lesion,69.23,60.0,55.56,100.0,100.0
Burnout,84.31,81.82,100.0,75.0,83.33
Migraine,89.36,84.0,88.89,100.0,100.0
Back Pain,72.92,66.67,33.33,100.0,100.0
Average,83.37100000000001,79.15199999999999,78.111,89.167,95.75699999999999
