Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Sore Throat,73.53,75.0,72.73,33.33,87.5
Dizziness,52.94,52.63,66.67,100.0,16.67
Earache,59.38,50.0,87.5,20.0,80.0
Back Pain,51.35,58.82,12.5,100.0,55.56
Constipation,58.33,56.25,45.45,50.0,85.71
Migraine,77.78,75.0,100.0,50.0,72.73
Eye Infection,52.5,36.36,50.0,50.0,100.0
Burnout,63.41,66.67,87.5,20.0,57.14
Fatigue,66.67,84.21,85.71,50.0,30.0
Skin Lesion,40.43,38.1,42.86,50.0,37.5
Average,59.63199999999999,59.30400000000001,65.09200000000001,52.33299999999999,62.28099999999999
