Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,66.67,66.67,50.0,33.33,87.5
Eye Infection,32.0,27.27,25.0,100.0,33.33
Fatigue,41.67,52.63,22.22,25.0,50.0
Earache,60.0,87.5,57.14,0.0,44.44
Skin Lesion,44.0,40.0,100.0,0.0,14.29
Back Pain,29.27,37.5,10.0,33.33,33.33
Dizziness,53.33,52.94,50.0,100.0,50.0
Sore Throat,77.78,91.67,64.29,100.0,77.78
Burnout,37.5,25.0,66.67,20.0,40.0
Migraine,54.76,31.82,80.0,50.0,87.5
Average,49.698,51.3,52.532000000000004,46.166,51.81699999999999
