Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Dizziness,58.06,53.33,66.67,50.0,62.5
Constipation,59.38,53.33,33.33,100.0,100.0
Fatigue,61.54,85.0,87.5,0.0,0.0
Migraine,58.54,38.1,77.78,33.33,100.0
Back Pain,55.88,54.55,25.0,100.0,66.67
Earache,65.12,45.0,87.5,33.33,91.67
Sore Throat,75.61,61.11,100.0,33.33,90.91
Eye Infection,58.7,47.37,44.44,100.0,66.67
Burnout,48.28,47.83,53.33,10.0,80.0
Skin Lesion,25.0,17.14,21.43,30.0,55.56
Average,56.611000000000004,50.275999999999996,59.698,48.998999999999995,71.398
