Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,61.54,45.45,66.67,40.0,100.0
Earache,78.57,76.92,100.0,25.0,100.0
Sore Throat,78.79,81.82,88.89,50.0,77.78
Back Pain,89.29,83.33,83.33,100.0,100.0
Migraine,78.12,80.0,85.71,50.0,83.33
Skin Lesion,67.74,56.25,83.33,50.0,85.71
Eye Infection,51.22,52.94,50.0,16.67,66.67
Fatigue,45.0,55.56,75.0,14.29,14.29
Burnout,60.0,64.71,100.0,12.5,64.29
Dizziness,54.76,60.0,60.0,75.0,25.0
Average,66.503,65.69800000000001,79.29299999999999,43.346000000000004,71.707
