Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,48.0,70.0,66.67,0.0,14.29
Constipation,66.67,58.33,0.0,100.0,100.0
Earache,68.0,87.5,71.43,0.0,55.56
Eye Infection,52.0,45.45,75.0,100.0,44.44
Migraine,54.76,50.0,50.0,100.0,62.5
Sore Throat,61.11,66.67,57.14,100.0,55.56
Back Pain,46.34,37.5,20.0,66.67,75.0
Fatigue,36.11,26.32,44.44,25.0,75.0
Dizziness,60.0,64.71,66.67,100.0,33.33
Burnout,45.0,31.25,55.56,40.0,60.0
Average,53.799,53.773,50.691,63.16700000000001,57.568000000000005
