Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,88.46,93.33,83.33,50.0,100.0
Constipation,88.46,90.91,100.0,60.0,100.0
Earache,96.67,100.0,100.0,75.0,100.0
Eye Infection,83.33,75.0,83.33,83.33,91.67
Migraine,100.0,100.0,100.0,100.0,100.0
Sore Throat,96.97,100.0,100.0,100.0,88.89
Back Pain,90.0,85.71,83.33,100.0,100.0
Fatigue,75.0,77.78,87.5,71.43,57.14
Dizziness,90.0,94.44,90.0,100.0,75.0
Burnout,91.11,100.0,100.0,62.5,92.86
Average,90.0,91.71700000000001,92.749,80.226,90.55600000000001
