Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,90.91,90.0,75.0,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Eye Infection,85.71,78.95,100.0,100.0,85.71
Skin Lesion,83.87,75.0,87.5,75.0,100.0
Migraine,90.62,83.33,100.0,100.0,100.0
Dizziness,89.47,85.71,90.0,100.0,100.0
Burnout,94.59,100.0,100.0,75.0,90.91
Fatigue,60.0,75.0,50.0,0.0,66.67
Back Pain,89.36,80.0,100.0,100.0,100.0
Average,88.453,86.799,90.25,85.0,94.32899999999998
