Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Dizziness,55.56,70.0,57.14,66.67,28.57
Sore Throat,76.67,70.0,90.0,50.0,75.0
Earache,67.86,53.85,85.71,33.33,100.0
Constipation,62.5,55.56,50.0,50.0,100.0
Eye Infection,47.06,46.67,33.33,66.67,57.14
Migraine,79.41,70.0,100.0,100.0,83.33
Back Pain,80.56,88.89,66.67,100.0,66.67
Fatigue,42.86,52.17,83.33,16.67,0.0
Skin Lesion,37.21,20.0,62.5,75.0,50.0
Burnout,63.64,72.22,58.33,20.0,77.78
Average,61.333000000000006,59.936,68.701,57.834,63.849000000000004
