Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,85.19,83.33,50.0,100.0,100.0
Dizziness,43.33,47.06,50.0,100.0,16.67
Eye Infection,60.0,72.73,75.0,100.0,33.33
Earache,72.0,87.5,71.43,0.0,66.67
Sore Throat,47.22,33.33,50.0,100.0,55.56
Back Pain,53.66,75.0,20.0,66.67,50.0
Fatigue,44.44,57.89,33.33,0.0,50.0
Migraine,57.14,54.55,50.0,100.0,62.5
Skin Lesion,40.0,50.0,66.67,0.0,14.29
Burnout,55.0,50.0,88.89,40.0,40.0
Average,55.798,61.138999999999996,55.532000000000004,60.66700000000001,48.902
