Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,78.12,77.78,50.0,75.0,100.0
Dizziness,85.19,100.0,100.0,100.0,42.86
Eye Infection,81.82,71.43,88.89,100.0,85.71
Earache,100.0,100.0,100.0,100.0,100.0
Sore Throat,93.33,90.0,100.0,100.0,87.5
Back Pain,94.29,94.44,83.33,100.0,100.0
Fatigue,69.05,65.22,66.67,83.33,71.43
Migraine,91.43,95.0,83.33,66.67,100.0
Skin Lesion,82.22,77.27,62.5,100.0,100.0
Burnout,88.64,88.89,100.0,40.0,100.0
Average,86.409,86.003,83.47200000000001,86.5,88.75
