Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,68.0,87.5,71.43,100.0,44.44
Dizziness,53.33,58.82,33.33,100.0,50.0
Eye Infection,52.0,45.45,75.0,100.0,44.44
Sore Throat,63.89,75.0,50.0,100.0,66.67
Constipation,74.07,75.0,0.0,100.0,100.0
Migraine,64.29,50.0,70.0,100.0,87.5
Skin Lesion,56.0,60.0,100.0,0.0,28.57
Back Pain,63.41,75.0,40.0,100.0,58.33
Fatigue,47.22,63.16,33.33,25.0,25.0
Burnout,67.5,56.25,77.78,20.0,100.0
Average,60.971000000000004,64.618,55.087,74.5,60.495000000000005
