Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,86.21,76.92,100.0,80.0,100.0
Dizziness,87.5,93.33,77.78,100.0,80.0
Eye Infection,71.43,50.0,88.89,100.0,81.82
Sore Throat,93.75,92.31,100.0,100.0,87.5
Constipation,71.79,76.47,14.29,80.0,100.0
Migraine,89.19,84.21,85.71,100.0,100.0
Skin Lesion,68.18,57.14,75.0,57.14,100.0
Back Pain,89.19,84.21,83.33,100.0,100.0
Fatigue,73.81,75.0,80.0,33.33,100.0
Burnout,85.11,87.5,87.5,66.67,88.24
Average,81.616,77.70899999999999,79.25,81.714,93.756
