Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,45.24,40.0,50.0,16.67,75.0
Migraine,71.11,66.67,81.82,50.0,77.78
Earache,61.7,63.16,80.0,0.0,69.23
Constipation,64.44,52.38,50.0,100.0,83.33
Sore Throat,68.63,47.37,100.0,66.67,64.29
Skin Lesion,38.0,47.06,45.45,37.5,21.43
Back Pain,67.31,63.16,77.78,100.0,61.9
Fatigue,57.63,58.62,57.14,40.0,63.64
Dizziness,37.68,56.0,20.69,0.0,50.0
Burnout,51.95,50.0,90.91,14.29,47.37
Average,56.36900000000001,54.44199999999999,65.379,42.513000000000005,61.397000000000006
