Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,80.0,100.0,100.0,100.0,44.44
Constipation,92.59,91.67,75.0,100.0,100.0
Eye Infection,76.0,72.73,50.0,100.0,88.89
Migraine,80.95,68.18,100.0,100.0,87.5
Sore Throat,83.33,66.67,85.71,100.0,100.0
Skin Lesion,64.0,60.0,83.33,100.0,42.86
Fatigue,72.22,84.21,66.67,25.0,75.0
Back Pain,80.49,87.5,50.0,100.0,91.67
Burnout,65.0,62.5,77.78,20.0,80.0
Dizziness,66.67,58.82,50.0,100.0,100.0
Average,76.12499999999999,75.22800000000001,73.849,84.5,81.036
