Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,88.64,89.47,100.0,100.0,70.0
Constipation,93.33,85.71,100.0,100.0,100.0
Eye Infection,90.7,85.71,87.5,100.0,100.0
Migraine,95.56,100.0,90.91,75.0,100.0
Sore Throat,92.16,89.47,100.0,100.0,85.71
Skin Lesion,79.25,84.21,90.91,100.0,53.33
Fatigue,96.67,93.1,100.0,100.0,100.0
Back Pain,98.11,95.24,100.0,100.0,100.0
Burnout,95.89,95.0,100.0,100.0,94.74
Dizziness,91.04,100.0,92.59,100.0,66.67
Average,92.135,91.791,96.191,97.5,87.04499999999999
