Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,58.14,50.0,37.5,75.0,81.82
Earache,61.9,50.0,87.5,0.0,91.67
Skin Lesion,53.12,53.33,66.67,33.33,60.0
Sore Throat,81.4,71.43,80.0,50.0,100.0
Burnout,67.31,53.33,90.0,100.0,80.0
Dizziness,38.1,56.0,26.92,0.0,37.5
Back Pain,71.43,87.5,54.55,60.0,70.59
Eye Infection,48.98,44.0,37.5,50.0,66.67
Migraine,59.26,60.87,72.73,66.67,47.06
Fatigue,46.97,51.61,58.82,10.0,50.0
Average,58.661,57.806999999999995,61.21900000000001,44.5,68.53099999999999
