Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,60.0,60.0,66.67,100.0,42.86
Constipation,85.19,75.0,75.0,100.0,100.0
Earache,72.0,75.0,100.0,100.0,44.44
Sore Throat,86.11,75.0,85.71,100.0,100.0
Eye Infection,84.0,90.91,50.0,100.0,88.89
Burnout,70.0,56.25,88.89,40.0,90.0
Back Pain,68.29,75.0,40.0,100.0,75.0
Migraine,69.05,50.0,80.0,100.0,100.0
Dizziness,76.67,76.47,66.67,100.0,83.33
Fatigue,72.22,73.68,77.78,25.0,100.0
Average,74.35300000000001,70.731,73.07199999999999,86.5,82.45200000000001
