Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,61.11,56.25,87.5,0.0,85.71
Constipation,56.86,42.86,44.44,100.0,90.0
Sore Throat,70.0,54.55,87.5,66.67,77.78
Skin Lesion,43.14,40.91,62.5,42.86,35.71
Eye Infection,48.08,40.91,62.5,16.67,62.5
Fatigue,50.0,55.17,62.5,20.0,16.67
Migraine,67.21,60.0,73.33,60.0,81.82
Burnout,60.0,60.61,90.91,28.57,52.63
Dizziness,36.62,57.14,25.93,0.0,21.43
Back Pain,69.01,70.0,75.0,100.0,61.54
Average,56.202999999999996,53.839999999999996,67.211,43.477,58.57899999999999
