Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Sore Throat,80.0,69.23,92.31,50.0,85.71
Earache,62.79,55.56,87.5,0.0,83.33
Constipation,56.52,40.0,57.14,75.0,90.0
Skin Lesion,50.0,52.17,75.0,33.33,37.5
Eye Infection,48.0,40.0,57.14,20.0,69.23
Migraine,67.92,62.96,81.82,66.67,66.67
Burnout,50.0,46.15,100.0,14.29,46.15
Back Pain,73.02,80.0,84.62,60.0,60.0
Fatigue,53.23,62.5,71.43,25.0,37.5
Dizziness,42.86,57.69,27.59,33.33,60.0
Average,58.434000000000005,56.626,73.45500000000001,37.76199999999999,63.608999999999995
