Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Sore Throat,100.0,100.0,100.0,100.0,100.0
Constipation,91.11,88.0,100.0,100.0,88.89
Skin Lesion,83.72,82.61,87.5,75.0,87.5
Eye Infection,83.33,80.0,85.71,80.0,90.91
Earache,90.91,83.33,100.0,100.0,92.31
Fatigue,91.38,95.83,100.0,88.89,72.73
Dizziness,96.61,96.0,100.0,75.0,100.0
Migraine,96.15,96.0,100.0,100.0,91.67
Back Pain,95.0,95.65,91.67,100.0,95.0
Burnout,96.43,100.0,100.0,100.0,84.62
Average,92.46400000000001,91.74199999999999,96.488,91.889,90.363
