Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,50.98,46.15,44.44,40.0,72.73
Eye Infection,58.0,40.74,75.0,50.0,90.91
Sore Throat,75.47,63.64,88.24,50.0,83.33
Migraine,58.33,42.42,100.0,25.0,80.0
Earache,58.0,40.91,88.89,25.0,73.33
Skin Lesion,49.02,38.89,85.71,60.0,42.86
Dizziness,57.14,64.29,43.75,66.67,55.56
Fatigue,52.05,55.26,68.42,11.11,42.86
Back Pain,70.67,75.0,73.33,100.0,60.71
Burnout,50.0,52.5,72.73,11.11,50.0
Average,57.965999999999994,51.98,74.05100000000002,43.888999999999996,65.229
