Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,94.12,96.0,88.89,80.0,100.0
Eye Infection,88.89,85.71,85.71,100.0,93.33
Skin Lesion,94.12,94.74,85.71,100.0,95.0
Earache,98.11,95.45,100.0,100.0,100.0
Sore Throat,92.86,86.36,94.12,100.0,100.0
Migraine,94.64,93.55,100.0,66.67,100.0
Dizziness,91.07,92.86,93.33,75.0,88.89
Fatigue,96.2,97.37,100.0,90.0,92.31
Back Pain,97.53,96.55,100.0,100.0,96.97
Burnout,92.13,92.68,100.0,83.33,92.0
Average,93.967,93.127,94.776,89.50000000000001,95.85
