Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,88.89,83.33,75.0,100.0,100.0
Earache,92.0,87.5,100.0,100.0,88.89
Eye Infection,80.0,72.73,75.0,100.0,88.89
Sore Throat,91.67,91.67,85.71,100.0,100.0
Skin Lesion,92.0,100.0,83.33,100.0,85.71
Dizziness,83.33,82.35,66.67,100.0,100.0
Migraine,80.95,77.27,80.0,50.0,100.0
Fatigue,75.0,89.47,77.78,25.0,50.0
Back Pain,87.8,100.0,60.0,66.67,100.0
Burnout,75.0,75.0,77.78,20.0,100.0
Average,84.66399999999999,85.932,78.127,76.167,91.349
