Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,62.0,43.48,90.0,25.0,84.62
Sore Throat,72.0,57.89,83.33,50.0,81.82
Eye Infection,47.54,34.38,50.0,75.0,66.67
Migraine,59.65,56.67,66.67,25.0,72.73
Dizziness,42.19,58.33,23.33,33.33,71.43
Skin Lesion,42.42,35.0,61.54,57.14,34.62
Back Pain,79.37,81.48,76.92,100.0,73.68
Constipation,57.14,53.33,50.0,57.14,72.73
Fatigue,44.71,43.75,66.67,20.0,33.33
Burnout,48.24,43.86,81.82,0.0,70.0
Average,55.525999999999996,50.817,65.02799999999999,44.261,66.16300000000001
