Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,96.15,91.3,100.0,100.0,100.0
Sore Throat,89.58,76.47,94.44,100.0,100.0
Constipation,89.47,90.0,75.0,85.71,100.0
Migraine,93.1,90.62,100.0,75.0,100.0
Back Pain,98.36,100.0,91.67,100.0,100.0
Skin Lesion,82.19,86.21,61.54,100.0,84.0
Eye Infection,89.04,82.93,100.0,100.0,94.44
Dizziness,100.0,100.0,100.0,100.0,100.0
Burnout,93.68,94.03,100.0,71.43,100.0
Fatigue,92.77,88.64,100.0,90.91,100.0
Average,92.43400000000001,90.02,92.26500000000001,92.305,97.84400000000001
