Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,52.5,38.1,88.89,0.0,83.33
Sore Throat,75.93,65.22,88.89,50.0,81.82
Dizziness,41.79,56.67,21.43,0.0,83.33
Eye Infection,47.37,35.48,62.5,50.0,64.29
Skin Lesion,40.68,22.73,66.67,33.33,50.0
Constipation,50.0,38.89,44.44,66.67,76.92
Back Pain,66.2,80.0,66.67,85.71,48.15
Fatigue,43.04,43.18,68.75,16.67,23.08
Migraine,55.56,48.72,90.0,28.57,62.5
Burnout,46.32,46.94,81.82,14.29,39.29
Average,51.939,47.593,68.006,34.524,61.270999999999994
