Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,72.0,87.5,71.43,100.0,55.56
Eye Infection,84.0,90.91,50.0,100.0,88.89
Skin Lesion,68.0,80.0,83.33,0.0,57.14
Sore Throat,97.22,91.67,100.0,100.0,100.0
Constipation,85.19,91.67,75.0,33.33,100.0
Migraine,92.86,95.45,80.0,100.0,100.0
Fatigue,72.22,84.21,66.67,0.0,100.0
Dizziness,83.33,76.47,83.33,100.0,100.0
Back Pain,82.93,81.25,70.0,66.67,100.0
Burnout,85.0,93.75,77.78,40.0,100.0
Average,82.275,87.28800000000001,75.75399999999999,63.999999999999986,90.15899999999999
