Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Eye Infection,90.91,86.21,87.5,100.0,100.0
Skin Lesion,83.87,79.17,88.89,83.33,86.96
Sore Throat,91.38,82.61,94.44,100.0,100.0
Constipation,87.3,82.86,88.89,83.33,100.0
Migraine,95.65,94.87,100.0,85.71,100.0
Fatigue,92.5,97.5,93.75,50.0,94.44
Dizziness,100.0,100.0,100.0,100.0,100.0
Back Pain,98.67,100.0,100.0,100.0,96.3
Burnout,97.92,96.0,100.0,100.0,100.0
Average,93.81999999999998,91.922,95.34700000000001,90.237,97.77
