Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,64.52,50.0,87.5,25.0,100.0
Skin Lesion,72.41,64.29,85.71,75.0,75.0
Constipation,56.76,55.56,40.0,100.0,71.43
Sore Throat,89.74,85.71,100.0,50.0,90.0
Eye Infection,59.09,47.62,66.67,50.0,76.92
Fatigue,60.78,64.0,91.67,20.0,33.33
Migraine,73.68,64.29,100.0,40.0,84.62
Dizziness,59.65,64.0,45.45,100.0,75.0
Back Pain,75.0,69.23,92.31,100.0,66.67
Burnout,53.85,42.11,90.0,33.33,72.73
Average,66.548,60.681000000000004,79.931,59.333000000000006,74.57
