Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Skin Lesion,88.24,84.21,80.0,100.0,100.0
Constipation,89.47,94.44,70.0,100.0,100.0
Sore Throat,100.0,100.0,100.0,100.0,100.0
Eye Infection,91.67,95.24,100.0,100.0,82.35
Fatigue,91.49,90.48,100.0,80.0,88.89
Dizziness,98.18,100.0,95.45,100.0,100.0
Migraine,98.25,96.3,100.0,100.0,100.0
Back Pain,96.61,100.0,85.71,100.0,100.0
Burnout,93.85,94.74,90.0,100.0,90.91
Average,94.77600000000001,95.541,92.11600000000001,98.0,96.215
