Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,65.52,42.86,87.5,50.0,100.0
Constipation,62.16,52.94,50.0,100.0,87.5
Eye Infection,59.46,41.18,66.67,100.0,75.0
Sore Throat,82.93,78.57,85.71,50.0,90.91
Skin Lesion,60.0,44.44,75.0,100.0,60.0
Migraine,71.7,60.61,100.0,50.0,90.91
Fatigue,61.11,62.96,91.67,20.0,40.0
Burnout,68.09,57.14,100.0,0.0,87.5
Back Pain,75.86,67.86,83.33,100.0,80.0
Dizziness,65.45,64.0,56.25,66.67,81.82
Average,67.22800000000001,57.25599999999999,79.613,63.666999999999994,79.36399999999999
