Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,56.76,50.0,72.73,75.0,37.5
Constipation,59.52,50.0,30.0,100.0,90.91
Earache,65.0,41.18,87.5,25.0,100.0
Eye Infection,67.39,50.0,71.43,66.67,92.86
Sore Throat,77.08,66.67,81.25,50.0,91.67
Migraine,75.44,70.0,100.0,25.0,83.33
Fatigue,53.23,64.29,64.71,16.67,27.27
Dizziness,55.56,57.69,36.0,100.0,90.0
Back Pain,73.13,73.08,68.18,100.0,75.0
Burnout,60.0,52.63,90.91,0.0,75.0
Average,64.31099999999999,57.55400000000001,70.27099999999999,55.834,76.354
