Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,80.0,80.0,83.33,80.0,77.78
Earache,97.5,94.12,100.0,100.0,100.0
Eye Infection,95.12,94.44,100.0,100.0,92.31
Sore Throat,93.75,83.33,100.0,100.0,100.0
Constipation,86.96,88.89,72.73,100.0,92.86
Migraine,94.83,96.77,90.91,100.0,91.67
Dizziness,95.16,100.0,92.0,66.67,100.0
Burnout,95.16,92.31,100.0,100.0,100.0
Fatigue,89.23,96.43,76.47,83.33,92.86
Back Pain,98.44,100.0,100.0,100.0,93.33
Average,92.61500000000001,92.62899999999999,91.54400000000001,93.00000000000001,94.081
