Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,60.0,37.5,87.5,0.0,91.67
Constipation,58.33,52.94,33.33,100.0,85.71
Migraine,76.47,65.52,100.0,50.0,90.91
Skin Lesion,50.98,36.36,66.67,75.0,53.85
Sore Throat,85.71,84.62,92.86,66.67,83.33
Eye Infection,66.67,55.0,75.0,100.0,72.22
Back Pain,73.08,75.0,78.57,100.0,62.5
Dizziness,54.72,57.69,40.0,66.67,100.0
Fatigue,57.14,55.56,100.0,16.67,33.33
Burnout,61.82,52.94,100.0,0.0,75.0
Average,64.492,57.31300000000001,77.393,57.501,74.852
