Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,97.06,93.75,100.0,100.0,100.0
Eye Infection,97.73,100.0,100.0,100.0,92.86
Sore Throat,94.74,92.31,92.86,100.0,100.0
Constipation,92.31,94.12,88.89,100.0,90.0
Skin Lesion,82.35,90.91,66.67,100.0,76.92
Fatigue,91.8,97.06,100.0,66.67,77.78
Back Pain,97.96,100.0,92.86,100.0,100.0
Burnout,96.43,96.15,100.0,100.0,94.12
Dizziness,98.15,100.0,95.0,100.0,100.0
Migraine,93.44,91.67,88.89,100.0,100.0
Average,94.197,95.597,92.517,96.667,93.168
