Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,62.5,42.11,75.0,100.0,100.0
Constipation,52.78,41.18,33.33,100.0,87.5
Earache,67.65,56.25,87.5,25.0,100.0
Sore Throat,92.5,92.31,100.0,50.0,90.91
Eye Infection,66.67,55.56,66.67,50.0,84.62
Migraine,77.36,66.67,100.0,66.67,90.91
Dizziness,63.27,61.9,50.0,100.0,80.0
Back Pain,77.19,71.43,90.0,100.0,75.0
Burnout,71.93,65.52,100.0,50.0,76.92
Fatigue,53.57,56.67,83.33,0.0,42.86
Average,68.54200000000002,60.959999999999994,78.583,64.167,82.87199999999999
