Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,80.0,90.0,100.0,100.0,42.86
Earache,84.0,87.5,85.71,100.0,77.78
Constipation,85.19,75.0,75.0,100.0,100.0
Eye Infection,68.0,54.55,50.0,100.0,88.89
Sore Throat,88.89,75.0,92.86,100.0,100.0
Dizziness,83.33,82.35,83.33,100.0,83.33
Fatigue,69.44,84.21,66.67,0.0,75.0
Burnout,77.5,75.0,100.0,40.0,80.0
Back Pain,92.68,87.5,90.0,100.0,100.0
Migraine,88.1,86.36,90.0,50.0,100.0
Average,81.713,79.74699999999999,83.357,79.0,84.78599999999999
