Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,88.24,80.0,100.0,100.0,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Constipation,97.3,100.0,88.89,100.0,100.0
Eye Infection,94.74,94.44,100.0,100.0,91.67
Sore Throat,95.0,84.62,100.0,100.0,100.0
Dizziness,94.12,100.0,87.5,100.0,90.0
Fatigue,94.64,96.67,100.0,85.71,85.71
Burnout,100.0,100.0,100.0,100.0,100.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Migraine,94.44,96.77,88.89,100.0,90.91
Average,95.848,95.25,96.52799999999999,98.571,95.829
