Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,70.27,42.86,87.5,33.33,100.0
Eye Infection,64.86,57.14,66.67,100.0,77.78
Constipation,69.44,58.82,71.43,100.0,77.78
Skin Lesion,65.0,58.82,66.67,100.0,63.64
Sore Throat,80.95,73.33,92.86,50.0,81.82
Fatigue,57.69,59.26,90.0,16.67,44.44
Dizziness,56.86,62.5,52.63,66.67,40.0
Migraine,75.51,65.38,90.0,50.0,90.91
Back Pain,79.17,71.43,81.82,100.0,84.62
Burnout,68.75,61.29,100.0,0.0,80.0
Average,68.85,61.08299999999999,79.958,61.666999999999994,74.099
