Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,75.76,57.14,87.5,100.0,90.0
Eye Infection,56.41,36.36,80.0,100.0,80.0
Constipation,60.0,50.0,44.44,100.0,76.92
Sore Throat,72.73,70.59,81.25,33.33,73.68
Fatigue,56.6,55.56,76.92,20.0,50.0
Skin Lesion,61.54,45.45,80.0,60.0,73.33
Migraine,73.68,60.61,100.0,66.67,91.67
Dizziness,54.39,60.0,40.91,50.0,83.33
Back Pain,72.13,76.0,66.67,100.0,66.67
Burnout,63.51,52.78,90.91,28.57,80.0
Average,64.675,56.449,74.85999999999999,65.857,76.56
