Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,100.0,100.0,100.0,100.0,100.0
Constipation,92.31,90.0,88.89,100.0,100.0
Eye Infection,90.0,86.96,100.0,100.0,90.0
Sore Throat,95.92,88.24,100.0,100.0,100.0
Dizziness,98.15,100.0,100.0,66.67,100.0
Fatigue,94.44,100.0,85.71,100.0,87.5
Skin Lesion,87.93,95.45,70.0,100.0,85.71
Migraine,94.55,96.67,90.91,100.0,90.91
Back Pain,95.38,96.15,94.74,100.0,94.12
Burnout,98.57,100.0,100.0,100.0,95.0
Average,94.725,95.347,93.025,96.667,94.324
