Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,94.29,93.75,100.0,100.0,90.91
Earache,96.88,93.33,100.0,100.0,100.0
Skin Lesion,92.68,100.0,62.5,100.0,100.0
Constipation,92.31,94.44,80.0,100.0,100.0
Sore Throat,97.5,92.31,100.0,100.0,100.0
Migraine,92.0,96.43,88.89,66.67,90.0
Dizziness,96.23,96.0,100.0,66.67,100.0
Back Pain,96.15,100.0,88.89,100.0,94.44
Fatigue,90.32,90.0,100.0,100.0,80.0
Burnout,98.39,100.0,100.0,100.0,93.33
Average,94.67499999999998,95.626,92.02799999999999,93.334,94.868
