Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,80.0,77.78,60.0,100.0,87.5
Constipation,96.67,92.31,100.0,100.0,100.0
Skin Lesion,89.29,90.91,71.43,100.0,100.0
Earache,96.3,92.31,100.0,100.0,100.0
Burnout,96.15,90.0,100.0,100.0,100.0
Sore Throat,96.88,87.5,100.0,100.0,100.0
Fatigue,92.11,93.75,90.0,100.0,87.5
Migraine,100.0,100.0,100.0,100.0,100.0
Dizziness,90.48,94.74,78.57,100.0,100.0
Back Pain,100.0,100.0,100.0,100.0,100.0
Average,93.788,91.92999999999999,90.0,100.0,97.5
