Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,78.26,66.67,100.0,33.33,100.0
Burnout,85.71,90.91,88.89,50.0,83.33
Constipation,77.42,71.43,80.0,66.67,88.89
Skin Lesion,62.86,61.54,77.78,75.0,44.44
Migraine,76.92,57.89,100.0,50.0,100.0
Back Pain,72.73,85.71,80.0,100.0,45.45
Sore Throat,82.86,75.0,84.62,50.0,100.0
Dizziness,60.0,63.16,60.0,66.67,50.0
Eye Infection,48.48,35.71,33.33,100.0,63.64
Fatigue,61.36,57.14,90.0,40.0,50.0
Average,70.66,66.51599999999999,79.462,63.16700000000001,72.57499999999999
