Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,60.0,62.5,71.43,100.0,44.44
Sore Throat,69.44,58.33,71.43,100.0,77.78
Dizziness,73.33,76.47,50.0,100.0,83.33
Constipation,66.67,91.67,75.0,33.33,37.5
Skin Lesion,60.0,70.0,66.67,100.0,28.57
Eye Infection,72.0,72.73,25.0,100.0,88.89
Migraine,69.05,59.09,80.0,50.0,87.5
Fatigue,61.11,73.68,55.56,0.0,75.0
Burnout,70.0,68.75,77.78,40.0,80.0
Back Pain,78.05,68.75,70.0,100.0,91.67
Average,67.96499999999999,70.197,64.287,72.333,69.46799999999999
