Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,48.15,66.67,25.0,33.33,37.5
Eye Infection,44.0,36.36,75.0,100.0,33.33
Sore Throat,52.78,50.0,42.86,100.0,66.67
Earache,64.0,62.5,85.71,100.0,44.44
Skin Lesion,40.0,40.0,33.33,100.0,28.57
Fatigue,55.56,57.89,55.56,25.0,75.0
Burnout,40.0,25.0,44.44,40.0,60.0
Dizziness,60.0,76.47,50.0,100.0,16.67
Back Pain,46.34,50.0,30.0,66.67,50.0
Migraine,59.52,45.45,80.0,100.0,62.5
Average,51.035000000000004,51.034,52.19,76.49999999999999,47.468
