Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,96.0,100.0,85.71,100.0,100.0
Eye Infection,76.67,54.55,87.5,100.0,88.89
Sore Throat,83.87,66.67,100.0,75.0,100.0
Earache,93.75,85.71,100.0,100.0,100.0
Skin Lesion,90.62,92.31,87.5,83.33,100.0
Fatigue,86.49,83.33,80.0,100.0,100.0
Burnout,91.67,88.24,100.0,66.67,100.0
Dizziness,96.88,100.0,100.0,100.0,80.0
Back Pain,77.14,85.71,45.45,100.0,100.0
Migraine,97.37,94.44,100.0,100.0,100.0
Average,89.046,85.096,88.61600000000001,92.5,96.889
