Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,74.07,80.0,33.33,100.0,88.89
Earache,75.86,69.23,100.0,25.0,100.0
Eye Infection,43.75,46.15,30.0,66.67,50.0
Sore Throat,79.31,70.0,90.0,66.67,83.33
Skin Lesion,62.96,45.45,66.67,100.0,66.67
Burnout,69.23,55.0,100.0,66.67,77.78
Dizziness,68.57,65.0,85.71,66.67,60.0
Fatigue,51.61,41.67,75.0,25.0,57.14
Migraine,80.0,83.33,88.89,66.67,70.0
Back Pain,62.86,58.33,75.0,100.0,53.85
Average,66.822,61.41600000000001,74.46000000000001,68.33500000000001,70.76599999999999
