Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Eye Infection,62.5,50.0,40.0,100.0,77.78
Earache,71.43,60.0,100.0,33.33,100.0
Constipation,64.29,53.85,40.0,100.0,85.71
Dizziness,59.26,53.33,80.0,33.33,75.0
Back Pain,62.07,60.0,50.0,100.0,60.0
Burnout,67.74,61.11,100.0,33.33,80.0
Sore Throat,70.97,53.85,88.89,66.67,83.33
Skin Lesion,54.29,47.37,50.0,75.0,66.67
Migraine,78.12,73.33,66.67,33.33,100.0
Fatigue,61.54,65.71,75.0,0.0,60.0
Average,65.22099999999999,57.855000000000004,69.056,57.499,78.849
