Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,78.26,62.5,100.0,33.33,100.0
Skin Lesion,60.0,50.0,66.67,75.0,60.0
Eye Infection,46.43,25.0,80.0,100.0,44.44
Constipation,60.71,53.33,40.0,66.67,100.0
Burnout,64.29,62.5,100.0,0.0,75.0
Dizziness,45.0,60.0,40.0,50.0,0.0
Fatigue,47.06,42.86,85.71,20.0,37.5
Back Pain,51.35,55.0,25.0,66.67,66.67
Sore Throat,70.59,52.94,85.71,100.0,87.5
Migraine,63.16,58.82,87.5,25.0,66.67
Average,58.68499999999999,52.295,71.059,53.66700000000001,63.778
