Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,24.0,37.5,14.29,0.0,22.22
Dizziness,30.0,29.41,33.33,100.0,16.67
Eye Infection,24.0,9.09,25.0,100.0,33.33
Skin Lesion,40.0,40.0,50.0,100.0,14.29
Constipation,48.15,75.0,0.0,33.33,37.5
Burnout,45.0,37.5,44.44,20.0,70.0
Sore Throat,55.56,58.33,35.71,100.0,77.78
Fatigue,33.33,26.32,55.56,0.0,50.0
Migraine,45.24,40.91,60.0,50.0,37.5
Back Pain,24.39,31.25,0.0,33.33,33.33
Average,36.967,38.53099999999999,31.833000000000006,53.666,39.26199999999999
