Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Skin Lesion,95.24,85.71,100.0,100.0,100.0
Dizziness,96.43,93.75,100.0,100.0,100.0
Sore Throat,96.55,100.0,88.89,100.0,100.0
Constipation,71.88,68.75,33.33,100.0,100.0
Earache,90.0,100.0,100.0,66.67,71.43
Eye Infection,78.12,60.0,80.0,100.0,100.0
Back Pain,84.38,87.5,57.14,100.0,100.0
Fatigue,87.18,89.47,87.5,80.0,85.71
Migraine,85.71,81.82,100.0,33.33,100.0
Burnout,89.8,86.96,85.71,75.0,100.0
Average,87.529,85.396,83.257,85.50000000000001,95.714
