Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Sore Throat,64.0,66.67,62.5,33.33,75.0
Fatigue,59.26,90.0,100.0,0.0,33.33
Constipation,84.62,81.82,50.0,100.0,100.0
Skin Lesion,65.38,60.0,85.71,33.33,66.67
Migraine,73.33,76.92,62.5,33.33,100.0
Burnout,66.67,60.0,100.0,0.0,63.64
Back Pain,72.73,61.11,80.0,100.0,87.5
Dizziness,66.67,77.78,50.0,33.33,80.0
Earache,72.22,62.5,100.0,25.0,90.0
Eye Infection,48.72,33.33,44.44,75.0,75.0
Average,67.36,67.013,73.51500000000001,43.331999999999994,77.114
