Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Constipation,90.91,75.0,100.0,100.0,100.0
Fatigue,88.89,90.0,100.0,66.67,100.0
Skin Lesion,96.55,100.0,85.71,100.0,100.0
Sore Throat,95.83,83.33,100.0,100.0,100.0
Migraine,90.0,92.31,87.5,66.67,100.0
Earache,100.0,100.0,100.0,100.0,100.0
Burnout,93.75,100.0,100.0,100.0,71.43
Dizziness,80.56,94.44,60.0,66.67,80.0
Eye Infection,72.5,63.16,77.78,100.0,77.78
Back Pain,76.47,66.67,66.67,100.0,100.0
Average,88.546,86.49099999999999,87.76599999999999,90.001,92.921
