Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,56.0,75.0,57.14,0.0,44.44
Constipation,77.78,75.0,50.0,100.0,87.5
Skin Lesion,48.0,60.0,83.33,0.0,14.29
Eye Infection,40.0,18.18,25.0,100.0,66.67
Sore Throat,61.11,66.67,57.14,100.0,55.56
Dizziness,50.0,47.06,66.67,100.0,33.33
Fatigue,41.67,57.89,22.22,0.0,50.0
Back Pain,60.98,75.0,20.0,100.0,66.67
Migraine,73.81,72.73,90.0,100.0,50.0
Burnout,52.5,50.0,77.78,20.0,50.0
Average,56.18499999999999,59.753,54.928,62.0,51.846000000000004
