Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Earache,96.0,100.0,83.33,100.0,100.0
Constipation,82.14,75.0,100.0,50.0,100.0
Skin Lesion,96.43,100.0,83.33,100.0,100.0
Eye Infection,83.87,75.0,80.0,100.0,100.0
Sore Throat,88.89,80.0,100.0,100.0,88.89
Dizziness,87.18,100.0,100.0,50.0,57.14
Fatigue,86.05,86.96,66.67,100.0,100.0
Back Pain,89.74,94.74,57.14,100.0,100.0
Migraine,89.58,85.19,100.0,100.0,85.71
Burnout,93.18,95.24,100.0,50.0,100.0
Average,89.306,89.21300000000001,87.047,85.0,93.174
