Case_ID,Overall_Score,Subjective,Objective,Assessment,Plan
Burnout,27.5,0.0,55.56,20.0,50.0
Constipation,62.96,66.67,25.0,100.0,62.5
Earache,60.0,75.0,57.14,100.0,44.44
Dizziness,50.0,47.06,50.0,100.0,50.0
Sore Throat,58.33,75.0,42.86,100.0,55.56
Eye Infection,56.0,63.64,50.0,100.0,44.44
Skin Lesion,60.0,70.0,66.67,100.0,28.57
Back Pain,41.46,43.75,40.0,66.67,33.33
Fatigue,36.11,47.37,22.22,0.0,50.0
Migraine,45.24,50.0,20.0,100.0,50.0
Average,49.760000000000005,53.849000000000004,42.94500000000001,78.667,46.884
